"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","ranking-badge-1of10","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=ApmOKrPAFCo","https://i9.ytimg.com/vi/ApmOKrPAFCo/hqdefault_custom_2.jpg?sqp=CMDLk80G-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBIBp8noGfJTLn7-JGSVSIz1F73iQ","13:25","I Tested Neo AI Browser — The AI Browser Built Around Privacy","0.3x","1.8K views","3 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","10 of 10","8 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+Tested+Neo+AI+Browser+%E2%80%94+The+AI+Browser+Built+Around+Privacy%22%2C%22mode%22%3A%22long%22%7D","0.1x"
"https://www.youtube.com/watch?v=HNihdU8LMig&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/HNihdU8LMig/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDVbzdj-hV3GjZt4LFyDRbRPA-NBw","6:20","I Tested the First Diffusion Reasoning LLM… It’s Insanely Fast","1.6x","6.6K views","5 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 of 10","14 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+Tested+the+First+Diffusion+Reasoning+LLM%E2%80%A6+It%E2%80%99s+Insanely+Fast%22%2C%22mode%22%3A%22long%22%7D","0.3x"
"https://www.youtube.com/watch?v=NDsfACJALfY","https://i.ytimg.com/vi/NDsfACJALfY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBl01FEEXIJbBXacNu13VR3MgPsUw","12:52","5 AI Tools That Save Me Hours Every Week (2026)","0.6x","4.2K views","6 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 of 10","6 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%225+AI+Tools+That+Save+Me+Hours+Every+Week+%282026%29%22%2C%22mode%22%3A%22long%22%7D","0.2x"
"https://www.youtube.com/watch?v=56IeB1CZEYY","https://i.ytimg.com/vi/56IeB1CZEYY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAP4m-zrpxYxQNT_QU4XtYA4oPGYg","21:02","You Won’t Believe What Claude Cowork Is Capable Of","24.5x","103K views","9 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 of 10","227 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Cowork+Is+the+First+AI+That+Feels+Like+a+Real+Employee%22%2C%22mode%22%3A%22long%22%7D","3x"
"https://www.youtube.com/watch?v=7HErPVFNO0Q","https://i9.ytimg.com/vi/7HErPVFNO0Q/hqdefault_custom_1.jpg?sqp=CMDLk80G-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBRNkfBofByWkGf2qc6IN6J7gGImg","15:51","Vibe Coding Explained for Beginners - Build Apps with AI","0.1x","3.6K views","10 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","10 of 10","3 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Vibe+Coding+Explained+for+Beginners+-+Build+Apps+with+AI%22%2C%22mode%22%3A%22long%22%7D","0.1x"
"https://www.youtube.com/watch?v=RgwN70bpYeo","https://i.ytimg.com/vi/RgwN70bpYeo/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCzVXtaVPukaj1FDhWg-lGZegEBMA","23:08","I Built a Real AI App in 60 Minutes (No Coding)","0.2x","5.4K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","9 of 10","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+Built+a+Real+AI+App+in+60+Minutes+%28No+Coding%29%22%2C%22mode%22%3A%22long%22%7D","0.2x"
"https://www.youtube.com/watch?v=4Efe3QLZBkI","https://i.ytimg.com/vi/4Efe3QLZBkI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAncoTiPYg9i8lJu7K96kThN2rIAQ","28:49","Gemini Isn’t Even the Best Part of Google AI","1.1x","31K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 10","6 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+Isn%E2%80%99t+Even+the+Best+Part+of+Google+AI%22%2C%22mode%22%3A%22long%22%7D","0.9x"
"https://www.youtube.com/watch?v=U6R9QHNJYb8","https://i.ytimg.com/vi/U6R9QHNJYb8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC0qg_bIY54bVgrr2g4bDcwG7QpIA","17:40","NotebookLM Major Upgrades You Might Have Missed","0.9x","28K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 of 10","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NotebookLM+Major+Upgrades+You+Might+Have+Missed%22%2C%22mode%22%3A%22long%22%7D","0.8x"
"https://www.youtube.com/watch?v=E9enKu1BFhg","https://i.ytimg.com/vi/E9enKu1BFhg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAQ6x29or02LUTAdydkwn8Dcv7fXQ","24:37","Master 80% of Google AntiGravity in 24 Minutes","1.5x","48K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 10","37 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Master+80%25+of+Google+AntiGravity+in+24+Minutes%22%2C%22mode%22%3A%22long%22%7D","1.4x"
"https://www.youtube.com/watch?v=hwdshmkNYcE","https://i.ytimg.com/vi/hwdshmkNYcE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCwqWuLM2Yv7rNj_NCSbeGEVn-leQ","15:48","7 Game Changing New Manus AI Use Cases","1.2x","34K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 of 10","43 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%227+Game+Changing+New+Manus+AI+Use+Cases%22%2C%22mode%22%3A%22long%22%7D","1x"
