"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=4mnP1lRdUm8","https://i.ytimg.com/vi/4mnP1lRdUm8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDImc_U60OlvSYDfFHmr7roi8xAEA","4:06","Intro to Agent Skills","1.3x","35K views","1 day ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1.1K VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Intro+to+Agent+Skills%22%2C%22mode%22%3A%22long%22%7D","2.6x"
"https://www.youtube.com/watch?v=im_cBjH6lDQ","https://i.ytimg.com/vi/im_cBjH6lDQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB18mwFDKetZNtH_fvzsOLQcwJv-A","2:34","Mission Report Ep. 01 | Antigravity Updates","0.8x","27K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Mission+Report+Ep.+01+%7C+Antigravity+Updates%22%2C%22mode%22%3A%22long%22%7D","0.5x"
"https://www.youtube.com/watch?v=eqLqAMDgL5U","https://i.ytimg.com/vi/eqLqAMDgL5U/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA-JTTp1vxvFwbMKmL4SeqLpORpkQ","1:32","How to better understand, follow, and collaborate with the agent","1.8x","48K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+to+better+understand%2C+follow%2C+and+collaborate+with+the+agent%22%2C%22mode%22%3A%22long%22%7D","0.9x"
"https://www.youtube.com/watch?v=sDyTcXXn1AU","https://i.ytimg.com/vi/sDyTcXXn1AU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCpIVfIKLkREOc5RGcUaAl4LnuF4A","1:24","The Liftoff Series - How product managers bring abstract idea to life","0.5x","17K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22The+Liftoff+Series+-+How+product+managers+bring+abstract+idea+to+life%22%2C%22mode%22%3A%22long%22%7D","0.3x"
"https://www.youtube.com/watch?v=oCFqZ0Ri6gg","https://i.ytimg.com/vi/oCFqZ0Ri6gg/hqdefault.jpg?sqp=-oaymwFBCNACELwBSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLAmWcSkzUuZw38DFbvUqiUN2WE7lw","0:56","Gemini 3 Flash vs 3 Pro Marathon Dashboard","0.5x","18K views","2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3+Flash+vs+3+Pro+Marathon+Dashboard%22%2C%22mode%22%3A%22long%22%7D","0.4x"
"https://www.youtube.com/watch?v=MPkgMSWQMSU","https://i.ytimg.com/vi/MPkgMSWQMSU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAS1E67f85bJUhFAO6M3aLa4D_8Fg","1:51","Gemini 3 Flash: Launching a Limited Edition Product Drop","0.2x","8.9K views","2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3+Flash%3A+Launching+a+Limited+Edition+Product+Drop%22%2C%22mode%22%3A%22long%22%7D","0.2x"
"https://www.youtube.com/watch?v=Bbt5s_xADZ4","https://i.ytimg.com/vi/Bbt5s_xADZ4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDaHpDve1m4AtkV-q6KezIfYH_vHw","2:16","Gemini 3 Flash In Action: Limited Edition Product Drop","0.5x","22K views","2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3+Flash+In+Action%3A+Limited+Edition+Product+Drop%22%2C%22mode%22%3A%22long%22%7D","0.4x"
"https://www.youtube.com/watch?v=rKQ9b4UMpGQ","https://i.ytimg.com/vi/rKQ9b4UMpGQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLARga4IMuArNSb2ZTF945e3Lz679A","2:58","Antigravity solves the invert pendulum","2.3x","109K views","3 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Antigravity+solves+the+invert+pendulum%22%2C%22mode%22%3A%22long%22%7D","2.1x"
"https://www.youtube.com/watch?v=YX-OpeNZYI4","https://i.ytimg.com/vi/YX-OpeNZYI4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD1_J4dRiBcZZQGFq5S7uwpWtUqXw","2:56","Building a self-playing pinball machine with Antigravity","2.7x","92K views","3 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Building+a+self-playing+pinball+machine+with+Antigravity%22%2C%22mode%22%3A%22long%22%7D","1.8x"
"https://www.youtube.com/watch?v=FB6HO7CZHWw","https://i.ytimg.com/vi/FB6HO7CZHWw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLApzvq3eAxN6seCXS39vyk7BgUimA","0:52","Nano Banana Pro is now available on Google Antigravity","1.4x","47K views","3 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Nano+Banana+Pro+is+now+available+on+Google+Antigravity%22%2C%22mode%22%3A%22long%22%7D","0.9x"
