"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","ranking-badge-1of10","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=XpxDwVt3OFw","https://i.ytimg.com/vi/XpxDwVt3OFw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD3VMgAaZVMSHLOP5Rvhy0Wy7Nx_A","13:26","I Found the Fastest Way to Get Great App UX","0.6x","5.9K views","6 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 of 10","12 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+Found+the+Fastest+Way+to+Get+Great+App+UX%22%2C%22mode%22%3A%22long%22%7D","1.1x"
"https://www.youtube.com/watch?v=NprG-SGd4-A","https://i9.ytimg.com/vi/NprG-SGd4-A/hqdefault_custom_1.jpg?sqp=CJTJk80G-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDdnKf5x7W-N8x7MIYPSbfSuwOhYg","17:54","Google Stitch + Antigravity = Never Hire a Designer?","1.0x","9.9K views","13 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 of 10","7 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Google+Stitch+%2B+Antigravity+%3D+Never+Hire+a+Designer%3F%22%2C%22mode%22%3A%22long%22%7D","1.7x"
"https://www.youtube.com/watch?v=maabARKJ94o","https://i.ytimg.com/vi/maabARKJ94o/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBmhSpPxnVS3FYDGOsJSoYJrHc5Ow","19:09","7 Claude Skills Most Vibe Coders Don't Even Know Exist","1.1x","11K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 of 10","3 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%227+Claude+Skills+Most+Vibe+Coders+Don%27t+Even+Know+Exist%22%2C%22mode%22%3A%22long%22%7D","2x"
"https://www.youtube.com/watch?v=g5V3M_8flxc","https://i.ytimg.com/vi/g5V3M_8flxc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAMSHO02D9O856zyOhnThVN25m9nA","14:19","The 10X Vibe Coding Upgrade That Changes Everything","1.0x","10K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 of 10","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22The+10X+Vibe+Coding+Upgrade+That+Changes+Everything%22%2C%22mode%22%3A%22long%22%7D","1.8x"
"https://www.youtube.com/watch?v=XwhVFO-HrPA","https://i.ytimg.com/vi/XwhVFO-HrPA/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBSQ1y4KrY6srog7T-LYbxcUqLM4A","15:55","The Clawdbot Hype Is Lying to You","0.6x","6.1K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 of 10","","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22The+Clawdbot+Hype+Is+Lying+to+You%22%2C%22mode%22%3A%22long%22%7D","1x"
"https://www.youtube.com/watch?v=-1MPVzEOx2g","https://i.ytimg.com/vi/-1MPVzEOx2g/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB-0n0ykvyaVFzHtL5OO9EyJVZfAw","21:15","7 Agent Skills Every Vibe Coder Needs","3.1x","29K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 of 10","5 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%227+Agent+Skills+Every+Vibe+Coder+Needs%22%2C%22mode%22%3A%22long%22%7D","5x"
"https://www.youtube.com/watch?v=-OnvD9McDt8&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/-OnvD9McDt8/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBL8VjrZrZkl416FjdHNgtm3gPnYA","15:44","Claude Skills Have a Catch (Most People Miss It)","0.9x","9.4K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 of 10","","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Skills+Have+a+Catch+%28Most+People+Miss+It%29%22%2C%22mode%22%3A%22long%22%7D","1.6x"
"https://www.youtube.com/watch?v=7TwIrPQnFfg","https://i.ytimg.com/vi/7TwIrPQnFfg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCKrdehsJXesxZBrcW21Wdr9Z-sYA","17:57","How To Run A Ralph Loop (Step By Step)","0.4x","4.1K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 9","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+To+Run+A+Ralph+Loop+%28Step+By+Step%29%22%2C%22mode%22%3A%22long%22%7D","0.7x"
"https://www.youtube.com/watch?v=OLjTWl4Ci10&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/OLjTWl4Ci10/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBTd-ysQHe7MorS0TAAewiFsGI6ZQ","22:07","I used these 5 books to go from zero customers to $20K/month","0.2x","1.5K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 of 8","","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+used+these+5+books+to+go+from+zero+customers+to+%2420K%2Fmonth%22%2C%22mode%22%3A%22long%22%7D","0.3x"
"https://www.youtube.com/watch?v=nDHXLnwlIaY","https://i.ytimg.com/vi/nDHXLnwlIaY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBMoKstrc2OEcXbd5AC6BmNwkMRXw","18:08","My 3-Step Claude Skill for Perfect UX Design","3.6x","22K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 7","3 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22My+3-Step+Claude+Skill+for+Perfect+UX+Design%22%2C%22mode%22%3A%22long%22%7D","3.8x"
