"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","vidiq-c-fvFDqp","ranking-badge-1of10","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=PU_hwTG0QVU&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/PU_hwTG0QVU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA5_aWtlBVB6nbLH-f9fPSZn3Jv4A","12:02","Gemini Super Gems: Google's NEW AI Super Agent! Goodbye N8N! (FULLY FREE AI App Generator) - Opal","0.5x","8.4K views","17 hours ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","420 VPH","","",""
"https://www.youtube.com/watch?v=aw_k00T4UFk&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/aw_k00T4UFk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCymSJAWfWRlJY5xqB4srG1op6BXA","14:48","Antigravity + Claude Code IS INCREDIBLE! NEW AI Coding Workflow Can Build and Automate EVERYTHING!","1.9x","16K views","1 day ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","229 VPH","8 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Antigravity+%2B+Claude+Code+IS+INCREDIBLE%21+NEW+AI+Coding+Workflow+Can+Build+and+Automate+EVERYTHING%21%22%2C%22mode%22%3A%22long%22%7D","1.3x"
"https://www.youtube.com/watch?v=u22-XoQvI4I","https://i.ytimg.com/vi/u22-XoQvI4I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBLpjpnPlDhK-pxvyxkTG9gsqJHdQ","11:13","Google's Nano Banana 2.0: Best Text-To-Image Generation Model EVER! The Photoshop killer! (Tested)","0.5x","8.2K views","2 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","23 VPH","10 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Google%27s+Nano+Banana+2.0%3A+Best+Text-To-Image+Generation+Model+EVER%21+The+Photoshop+killer%21+%28Tested%29%22%2C%22mode%22%3A%22long%22%7D","0.6x"
"https://www.youtube.com/watch?v=6FNu2xqP758","https://i.ytimg.com/vi/6FNu2xqP758/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAlJGCZpAMbUc9MFOU1BpmkVUSvGQ","10:52","Claude Code Just KILLED OpenClaw! HUGE NEW Update Introduces Remote Control + Scheduled Tasks!","2.5x","21K views","3 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","22 VPH","4 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Code+Just+KILLED+OpenClaw%21+HUGE+NEW+Update+Introduces+Remote+Control+%2B+Scheduled+Tasks%21%22%2C%22mode%22%3A%22long%22%7D","1.3x"
"https://www.youtube.com/watch?v=g3D3yYVCSYQ","https://i.ytimg.com/vi/g3D3yYVCSYQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBFLKZIa6-YKr3ONA_nFdkU8skcmg","12:38","Mercury 2: The World's Fastest Reasoning Model! Fast, Cheap, & Powerful! Beats Claude & Gemini!","0.8x","15K views","4 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","11 VPH","10 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Mercury+2%3A+The+World%27s+Fastest+Reasoning+Model%21+Fast%2C+Cheap%2C+%26+Powerful%21+Beats+Claude+%26+Gemini%21%22%2C%22mode%22%3A%22long%22%7D","0.9x"
"https://www.youtube.com/watch?v=7bQXrf2jbZY","https://i.ytimg.com/vi/7bQXrf2jbZY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC3-KIXW9wdwB1XSUD4qOLh__ZSMQ","13:11","Gemini 3.1 Pro + Claude Opus 4.6 = Ultimate AI Coding Workflow! Incredible Coding Results + FREE!","1.1x","22K views","5 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","22 VPH","5 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3.1+Pro+%2B+Claude+Opus+4.6+%3D+Ultimate+AI+Coding+Workflow%21+Incredible+Coding+Results+%2B+FREE%21%22%2C%22mode%22%3A%22long%22%7D","1.3x"
"https://www.youtube.com/watch?v=EGo7m7ZjW0c","https://i.ytimg.com/vi/EGo7m7ZjW0c/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAl8fbj0en6_C7uPvNoV4MsqlPA1A","9:18","NEW Antigravity AI Studio Release From Google Changes AI Code Development!","1.0x","22K views","6 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 VPH","5 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NEW+Antigravity+AI+Studio+Release+From+Google+Changes+AI+Code+Development%21%22%2C%22mode%22%3A%22long%22%7D","1.3x"
"https://www.youtube.com/watch?v=CBIUxXy3WmM","https://i.ytimg.com/vi/CBIUxXy3WmM/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLACfJWPm1dawk0HqiUh91zyxnkVFg","9:54","Claude Code NEW Design Canvas With Built-In Figma That's FREE! (Pencil.dev)","0.9x","20K views","7 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","10 VPH","7 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Code+NEW+Design+Canvas+With+Built-In+Figma+That%27s+FREE%21+%28Pencil.dev%29%22%2C%22mode%22%3A%22long%22%7D","1.1x"
"https://www.youtube.com/watch?v=CrCPFGxtgEY","https://i.ytimg.com/vi/CrCPFGxtgEY/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCruF1rfbUGovaMb0j4714eHc1BBg","10:46","Claude Code NEW Update IS HUGE! Claude Code Secruity, Claude Engineer, & MORE!","2.8x","62K views","8 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 VPH","2 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Code+NEW+Update+IS+HUGE%21+Claude+Code+Secruity%2C+Claude+Engineer%2C+%26+MORE%21%22%2C%22mode%22%3A%22long%22%7D","3.2x"
"https://www.youtube.com/watch?v=_uQKI-NOCFg&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/_uQKI-NOCFg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB1W5A8_aOL8Z-_VeYYFNpxlCNxyg","11:55","Gemini 3.1 Pro Is Google's Greatest Model Ever! Most Powerful AI EVER! (Fully Tested)","0.8x","20K views","10 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","8 of 10","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3.1+Pro+Is+Google%27s+Greatest+Model+Ever%21+Most+Powerful+AI+EVER%21+%28Fully+Tested%29%22%2C%22mode%22%3A%22long%22%7D","1x"
