"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","ranking-badge-1of10","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=gcuR_-rzlDw","https://i9.ytimg.com/vi/gcuR_-rzlDw/hqdefault_custom_2.jpg?sqp=COzNk80G-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCMBLgmzPUTASsAAWYqdiwLh0b42Q","6:23:05","Vibe Coding 2026: Gemini 3.1 + Antigravity 6-Hour Full Course","0.3x","57K views","2 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 10","508 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22GEMINI+3.1+%2B+ANTIGRAVITY+FULL+COURSE+6HRS%3A+Vibe+Coding%22%2C%22mode%22%3A%22long%22%7D","5.9x"
"https://www.youtube.com/watch?v=czLrUyA_Bh4","https://i.ytimg.com/vi/czLrUyA_Bh4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCJlydLDwwPBylcld3-pvHFu1-vEA","9:51","Gemini 3.1 Pro + Antigravity Destroys Every Site Designer","2.9x","167K views","9 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 10","172 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Gemini+3.1+Pro+%2B+Antigravity+Destroys+Every+Site+Designer%22%2C%22mode%22%3A%22long%22%7D","9.8x"
"https://www.youtube.com/watch?v=QoQBzR1NIqI","https://i.ytimg.com/vi/QoQBzR1NIqI/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDRGLmM1XSkkDU1Wf8l0iQhZgo4IA","4:10:43","CLAUDE CODE FULL COURSE 4 HOURS: Build & Sell (2026)","7.1x","405K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 of 10","1.1K VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22CLAUDE+CODE+FULL+COURSE+4+HOURS%3A+Build+%26+Sell+%282026%29%22%2C%22mode%22%3A%22long%22%7D","24x"
"https://www.youtube.com/watch?v=W6VockLeov4","https://i.ytimg.com/vi/W6VockLeov4/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDDtpb_W9Kvm-_yt_eAju4djUks0Q","11:22","Opus-4.6 Just Did Something Crazy","0.2x","30K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 10","4 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Opus-4.6+Just+Did+Something+Crazy%22%2C%22mode%22%3A%22long%22%7D","1.8x"
"https://www.youtube.com/watch?v=Z6bKoFVZG7A","https://i.ytimg.com/vi/Z6bKoFVZG7A/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBYFmh9s2tjxXolUBdlIwGeF1mNKg","11:23","Advice for working in a post-AGI world","0.4x","15K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","9 of 10","4 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Advice+for+working+in+a+post-AGI+world%22%2C%22mode%22%3A%22long%22%7D","0.9x"
"https://www.youtube.com/watch?v=nTWe3P7hjxs","https://i.ytimg.com/vi/nTWe3P7hjxs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA-ue0wXi0tZAtLb8-KyxuuyuljdA","19:42","US Lost 108K Jobs in Jan 2026, Most Gone Forever (AI)","0.9x","28K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","6 of 10","5 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22US+Lost+108K+Jobs+in+Jan+2026%2C+Most+Gone+Forever+%28AI%29%22%2C%22mode%22%3A%22long%22%7D","1.7x"
"https://www.youtube.com/watch?v=5rNu19PfgFg","https://i.ytimg.com/vi/5rNu19PfgFg/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAHbHyNE0I8sdAZwfLJbTLFW3hCUg","10:28","how to transition from ai automation to agentic workflows","1.3x","35K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 of 10","10 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22how+to+transition+from+ai+automation+to+agentic+workflows%22%2C%22mode%22%3A%22long%22%7D","2.1x"
"https://www.youtube.com/watch?v=4pAt0DP-x50","https://i.ytimg.com/vi/4pAt0DP-x50/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAQyx9dn4-T8I-Gc3k_Ntb5REcj-Q","16:12","how to stay economically valuable from 2026-2029","0.6x","17K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 of 9","3 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22how+to+stay+economically+valuable+from+2026-2029%22%2C%22mode%22%3A%22long%22%7D","1x"
"https://www.youtube.com/watch?v=fM5LcS7VeL0","https://i.ytimg.com/vi/fM5LcS7VeL0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDlApixi74deNRl0PBUZZDS6YgVOA","8:46","They Tried To Pay Me To Promote This Dumpster Fire","0.6x","17K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 of 8","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22They+Tried+To+Pay+Me+To+Promote+This+Dumpster+Fire%22%2C%22mode%22%3A%22long%22%7D","1x"
"https://www.youtube.com/watch?v=zbCxi7CjiF0","https://i.ytimg.com/vi/zbCxi7CjiF0/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAadp900bThfwc7VT2gnZv-3U09mg","20:20","""I built Claude Code. Here are my ten hacks"" (masterclass)","0.7x","26K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 of 7","9 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22%5C%22I+built+Claude+Code.+Here+are+my+ten+hacks%5C%22+%28masterclass%29%22%2C%22mode%22%3A%22long%22%7D","1.5x"
