"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 3","yt-simple-endpoint","yt-simple-endpoint href 3","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2","style-scope href","style-scope src","text-accent","bold","style-scope 6","bold 2","style-scope 7","style-scope src 2","style-scope 8","style-scope 9","style-scope 10","style-scope 11","style-scope 12","style-scope 13","style-scope 14","yt-simple-endpoint href 5","macro-markers","style-scope 15","yt-simple-endpoint href 6","yt-simple-endpoint href 7","macro-markers 2","style-scope 17","yt-simple-endpoint href 9","macro-markers 3","style-scope 19","yt-simple-endpoint href 11","macro-markers 4","style-scope 21","yt-simple-endpoint href 13","macro-markers 5","style-scope 23","yt-simple-endpoint href 15","macro-markers 6","style-scope 25","yt-simple-endpoint href 17","macro-markers 7","style-scope 27","style-scope 29","bold 3","style-scope 30","bold 4","bold 5","bold 6","metadata-snippet-text-navigation","yt-core-attributed-string","absolute src","keyword-inner"
"https://www.youtube.com/watch?v=TZE33qMYwsc&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/TZE33qMYwsc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB7WZOxi9IBtpXEmEoN_xsmZR9T8Q","1:33:42","Amazon, Google and Vibe Coding with Steve Yegge","The Pragmatic Engineer","https://www.youtube.com/@pragmaticengineer","146K views","7 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Amazon%2C+Google+and+Vibe+Coding+with+Steve+Yegge%22%2C%22mode%22%3A%22long%22%7D","1.3x","https://www.youtube.com/@pragmaticengineer","https://yt3.ggpht.com/qG5_w-Lf6SyIgYXz3vm3ZgpGe-swbizzXsCM5oaOdlTL8AQzV48UMt3Wga-g5sfB7Mj7qH5qow=s68-c-k-c0x00ffffff-no-rj","465K","Steve Yegge","is known for his writing and “rants”, including the famous “Google Platforms Rant” and the evergreen “Get that job at ...","Steve Yegge","is known for his writing and “rants”, including the famous “Google Platforms Rant” and the evergreen “Get that job at ...","https://i.ytimg.com/vi/TZE33qMYwsc/hqdefault_27000.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCDK6yLxfYyN0G8ZsPVCJVpKBcMEw","24","chapters","Intro | An explanation of the interview anti-loop at Google and the shortcomings of interviews | Work trials and why entry-level jobs aren’t posted for big tech companies | An overview of the difficult process of landing a job as a software engineer | Steve’s thoughts on Grab and why he loved it | Insights from the Google platforms rant that was picked up by TechCrunch | The impact of the Google platforms rant | What Steve discovered about print ads not working for Google | What went wrong with Google+ and Wave | How Amazon has changed and what Google is doing wrong | Why Steve came out of retirement | Insights from “the death of the junior developer” and the impact of AI | The new role Steve predicts will emerge | Changing business cycles | Steve’s new book about vibe coding and Gergely’s experience | Reasons people struggle with AI tools | What will developer productivity look like in the future | The cost of using coding agents | Steve’s advice for vibe coding | How Steve used AI tools to work on his game Wyvern | Why Steve thinks there will actually be more jobs for developers | A comparison between game engines and AI tools | Why you need to learn AI now | Rapid fire round","24","chapters in this video","24","chapters","https://www.youtube.com/watch?v=TZE33qMYwsc","Intro","0:00","https://www.youtube.com/watch?v=TZE33qMYwsc","https://www.youtube.com/watch?v=TZE33qMYwsc&t=295s","An explanation of the interview anti-loop at Google and the shortcomings of interviews","4:55","https://www.youtube.com/watch?v=TZE33qMYwsc&t=464s","Work trials and why entry-level jobs aren’t posted for big tech companies","7:44","https://www.youtube.com/watch?v=TZE33qMYwsc&t=590s","An overview of the difficult process of landing a job as a software engineer","9:50","https://www.youtube.com/watch?v=TZE33qMYwsc&t=948s","Steve’s thoughts on Grab and why he loved it","15:48","https://www.youtube.com/watch?v=TZE33qMYwsc&t=1222s","Insights from the Google platforms rant that was picked up by TechCrunch","20:22","https://www.youtube.com/watch?v=TZE33qMYwsc&t=1664s","The impact of the Google platforms rant","27:44","","","","","","","","","",""
"https://www.youtube.com/watch?v=zuJyJP517Uw&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/zuJyJP517Uw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLB4hC6QGGAXfM8nNLr9RbzlA8_rQw","37:25","Steve Yegge's Vibe Coding Manifesto: Why Claude Code Isn't It & What Comes After the IDE","Latent Space","https://www.youtube.com/@LatentSpacePod","44K views","2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Steve+Yegge%27s+Vibe+Coding+Manifesto%3A+Why+Claude+Code+Isn%27t+It+%26+What+Comes+After+the+IDE%22%2C%22mode%22%3A%22long%22%7D","16x","https://www.youtube.com/@LatentSpacePod","https://yt3.ggpht.com/pSTHcffCXEverYEPdjM0iIRPH-IUT4d2biIMZ_Z7bhyf6sME-laFer9vEfpFbM5tqFYJV-UsLQ=s68-c-k-c0x00ffffff-no-rj","42.8K","Steve","Note:","Steve","Note:","https://i.ytimg.com/vi_webp/zuJyJP517Uw/hqdefault.webp","11","chapters","Introduction: Steve Yegge on Vibe Coding and AI Engineering | The Backlash: Who Resists Vibe Coding and Why | The 2000 Hour Rule: Building Trust with AI Coding Tools | The Hot Hand Fallacy: When AI Agents Betray Your Trust | Claude Code Isn't It: The Need for Agent Orchestration | The Orchestrator Revolution: From Cloud Code to Agent Villages | The Merge Wall: The Biggest Unsolved Problem in AI Coding | Never Rewrite Your Code - Until Now: Joel Spolsky Was Wrong | Google's Gemini Turnaround and the AI Lab Chaos | Should Your Kids Learn to Code? The New Answer | Code MCP and the Gossip Rate: Latest Vibe Coding Discoveries","11","chapters in this video","11","chapters","https://www.youtube.com/watch?v=zuJyJP517Uw","Introduction: Steve Yegge on Vibe Coding and AI Engineering","0:00","https://www.youtube.com/watch?v=zuJyJP517Uw","https://www.youtube.com/watch?v=zuJyJP517Uw&t=59s","The Backlash: Who Resists Vibe Coding and Why","0:59","https://www.youtube.com/watch?v=zuJyJP517Uw&t=266s","The 2000 Hour Rule: Building Trust with AI Coding Tools","4:26","https://www.youtube.com/watch?v=zuJyJP517Uw&t=469s","The Hot Hand Fallacy: When AI Agents Betray Your Trust","7:49","https://www.youtube.com/watch?v=zuJyJP517Uw&t=672s&pp=0gcJCfMAdtSAhXgk","Claude Code Isn't It: The Need for Agent Orchestration","11:12","https://www.youtube.com/watch?v=zuJyJP517Uw&t=920s","The Orchestrator Revolution: From Cloud Code to Agent Villages","15:20","https://www.youtube.com/watch?v=zuJyJP517Uw&t=1126s","The Merge Wall: The Biggest Unsolved Problem in AI Coding","18:46","and Gene's talk on","Vibe Coding","and the post IDE world was one of the top talks of AIE","CODE","Vibe Coding","CODE","","","",""
"https://www.youtube.com/watch?v=d0W9QcSE3xw&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/d0W9QcSE3xw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC6SNQxhp3-BgDJEYI_dO-k-7raDg","29:13","Chapter Two with Steve Yegge - The Art of Vibe Coding","Barry O'Reilly","https://www.youtube.com/@BarryOReillyLive","898 views","Streamed 2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","","","","https://www.youtube.com/@BarryOReillyLive","https://yt3.ggpht.com/izfUy2iKQrzWWPT37Od2TOdahWMXWeIKtYFAO2TSJjaFtBLNkn2YCbMqnp13VN_xfLAOl4KSFA=s68-c-k-c0x00ffffff-no-rj","1.11K","Vibe Coding","is taking the tech industry by storm — but what is it? At its core,","vibe coding","is the emerging practice of using AI to ...","","is taking the tech industry by storm — but what is it? At its core,","is the emerging practice of using AI to ...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vibe Coding","","vibe coding","","","","","",""
"https://www.youtube.com/watch?v=MFsYKQdcdz0&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/MFsYKQdcdz0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDTr4Xc9QvIdEjhqA9n7mDDif4D-Q","51:25","Vibe Coding Is The Only Future - Steve Yegge","A Life Engineered","https://www.youtube.com/@ALifeEngineered","43K views","5 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","3 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Vibe+Coding+Is+The+Only+Future+-+Steve+Yegge%22%2C%22mode%22%3A%22long%22%7D","1.5x","https://www.youtube.com/@ALifeEngineered","https://yt3.ggpht.com/xMADx5czTPcIhTmWROpNFrnAFB_S98l_8tq2Fwe2_t2b-hACm1xN8UWyilipkkoehvBAIzW_kBA=s68-c-k-c0x00ffffff-no-rj","195K","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Big Announcement: Linear is now the presenting sponsor of A Life Engineered! We're thrilled to partner with Linear for the entire ...","","",""
"https://www.youtube.com/watch?v=7Dtu2bilcFs&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/7Dtu2bilcFs/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCMKN2_nK-dAf3ahAm4Rm2WZgQznQ","24:59","2026: The Year The IDE Died — Steve Yegge & Gene Kim, Authors, Vibe Coding","AI Engineer","https://www.youtube.com/@aiDotEngineer","49K views","2 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","5 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%222026%3A+The+Year+The+IDE+Died+%E2%80%94+Steve+Yegge+%26+Gene+Kim%2C+Authors%2C+Vibe+Coding%22%2C%22mode%22%3A%22long%22%7D","8.2x","https://www.youtube.com/@aiDotEngineer","https://yt3.ggpht.com/ajVemEB89DAOemsbfuMY6ZOWXJAACx3cbty9z21jeqRKODaVkDBSRun1b1xfQJljEsziOWS_Mg=s68-c-k-c0x00ffffff-no-rj","369K","","Quality and accuracy may vary.","","","","Summary","AI-generated video summary","Explore the future of software development. This talk examines the impact of AI coding agents, comparing them to traditional IDEs and predicting a shift in development practices. Hear compelling case studies from various companies showcasing the transformative power of this technology.","Summary","","","","https://support.google.com/youtube/answer/14089423","","","","","","","","","","","","","","","","","","","","","","","","","","","","As AI has grown more capable, software developers around the world have lagged behind the technology advances, and have ...","Explore the future of software development. This talk examines the impact of AI coding agents, comparing them to traditional IDEs and predicting a shift in development practices. Hear compelling case studies from various companies showcasing the transformative power of this technology.","",""
"https://www.youtube.com/watch?v=AY6-bCihqf8&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/AY6-bCihqf8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD7rdUKmSkXv3e-XpiolZYC4p74OA","17:36","Vibe Coding by Steve Yegge & Gene Kim","Distilled Reads","https://www.youtube.com/@Distilled_Reads","105 views","3 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","","","","https://www.youtube.com/@Distilled_Reads","https://yt3.ggpht.com/lZ9YEsG_tfCSx57sE8brLNscQ7kVM1Vf9rCUkNCMw_T9IrYlZ_ha8Pzpd_qBfiQk7Rxv1c4Alw=s68-c-k-c0x00ffffff-no-rj","3.05K","Vibe Coding","This is a video about","Steve Yegge","by","","This is a video about","by","& Gene Kim.","& Gene Kim.","","","","","","","","","","","","","","","","","","","","","","","","","","","Vibe Coding","","Steve Yegge","","","","","chrome-extension://adccfkchphhccahbdnfdcfdgefjcdfmh/images/badge-basic.png","vibe coding"
"https://www.youtube.com/watch?v=-0_8gPam4tM&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/-0_8gPam4tM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBtxlKwUwpF9cVR2mOxmF0tQVp35Q","9:49","Steve Yegge’s Gas Town: Vibe coding goes crypto scam","Pivot to AI","https://www.youtube.com/@PivotToAI","7.5K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Steve+Yegge%E2%80%99s+Gas+Town%3A+Vibe+coding+goes+crypto+scam%22%2C%22mode%22%3A%22long%22%7D","1.5x","https://www.youtube.com/@PivotToAI","https://yt3.ggpht.com/wLwD5KaD5pDgPpytXYPdRbp-4AycRJmoUmJpzAey2ZNYe2xjQROsMn7J1iB0qdfEP3vs1Hgi=s68-c-k-c0x00ffffff-no-rj","16K","steve","Stop it. Get some help. https://pivot-to-ai.com/2026/01/22/","vibe","-yegges-gas-town-","","Stop it. Get some help. https://pivot-to-ai.com/2026/01/22/","-yegges-gas-town-","-","-","-goes-crypto-scam/ - blog post ...","-goes-crypto-scam/ - blog post ...","","","","","","","","","","","","","","","","","","","","","","","","","steve","","vibe","coding","coding","","","",""
"https://www.youtube.com/watch?v=G7kXuVlo6tU&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/G7kXuVlo6tU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCE618VbYe64ag7Vyr6Cpoq6YNVCQ","1:26:45","Steve Yegge on productive vibe coding, the death of the IDE, babysitting a fleet of AI coding agents","Changelog","https://www.youtube.com/@Changelog","7.9K views","8 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Steve+Yegge+on+productive+vibe+coding%2C+the+death+of+the+IDE%2C+babysitting+a+fleet+of+AI+coding+agents%22%2C%22mode%22%3A%22long%22%7D","12x","https://www.youtube.com/@Changelog","https://yt3.ggpht.com/ytc/AIdro_netZrROOC6ruo2PD3x8xjq0jp_dANLu4me8EOvsGECv4U=s68-c-k-c0x00ffffff-no-rj","19.3K","Steve Yegge","The ever-provocative","Steve Yegge","The ever-provocative","https://i.ytimg.com/vi/G7kXuVlo6tU/hqdefault_8166.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDTd4y02LjYI0P53r56SLbEowfy_A","24","chapters","Hot takes & Friends | Babysitting AIs | All coding will change | Multi-agent is the key | The dopamine hit | The death of the junior eng? | It's starting in enterprises | The new gig economy | A fitting analogy | Afraid to go beyond | Getting over the hump | Worth waiting? | Getting tactical | Talk to the plan | Who wrote this? | So expensive! | Giving them tools | Hitting the household | Dumbness as a feature | Memory matters | Societal impact | Being a kid today | What's the point? | Bye, friends","24","chapters in this video","24","chapters","https://www.youtube.com/watch?v=G7kXuVlo6tU","Hot takes & Friends","0:00","https://www.youtube.com/watch?v=G7kXuVlo6tU","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=419s","Babysitting AIs","6:59","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=830s","All coding will change","13:50","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=1044s","Multi-agent is the key","17:24","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=1308s","The dopamine hit","21:48","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=1451s","The death of the junior eng?","24:11","https://www.youtube.com/watch?v=G7kXuVlo6tU&t=1656s","It's starting in enterprises","27:36","joins us fresh off a","vibe coding","bender so productive, he wrote a book on the topic alongside ...","","vibe coding","","","","",""
"https://www.youtube.com/watch?v=Lwh7_rxtMTw&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/Lwh7_rxtMTw/hq720.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGH8gPCgvMA8=&rs=AOn4CLDl88sYvxR-W_eqN6VVxIV2MY_t2Q","27:06","S1E1: When and How Vibe Coding Changed Our Lives","Vibe Coding With Steve and Gene","https://www.youtube.com/@VibeCodingWithSteveandGene","4.2K views","7 months ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22S1E1%3A+When+and+How+Vibe+Coding+Changed+Our+Lives%22%2C%22mode%22%3A%22long%22%7D","5.8x","https://www.youtube.com/@VibeCodingWithSteveandGene","https://yt3.ggpht.com/GxUFi-T8ySCp2T-6z8ivzIj2B7Ymn-_mWA_qu7LoLL1Hsgp0SQDV6GQn2Or5fLso8fQYYJ4ny4g=s68-c-k-c0x00ffffff-no-rj","1.34K","Vibe Coding","This is the first episode of","Vibe Coding","This is the first episode of","https://i.ytimg.com/vi/Lwh7_rxtMTw/hqdefault_23866.jpg?sqp=-oaymwFBCNACELwBSFryq4qpAzMIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB8AEB-AH-CYAC0AWKAgwIABABGH8gPCgvMA8=&rs=AOn4CLALGmGQT7UVGFq8kgpu6ppJTdqG8Q","7","chapters","Introduction to Vibe Coding Podcast | Meet the Hosts: Gene and Steve | Steve's Career Journey | Gene's Background and Coding Revival | The Birth of Vibe Coding | Transformative Coding Experiences | Future Episodes and Book InsightsThis is a video about NEW EPISODE 1","7","chapters in this video","7","chapters","https://www.youtube.com/watch?v=Lwh7_rxtMTw","Introduction to Vibe Coding Podcast","0:00","https://www.youtube.com/watch?v=Lwh7_rxtMTw","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=60s","Meet the Hosts: Gene and Steve","1:00","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=126s","Steve's Career Journey","2:06","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=390s","Gene's Background and Coding Revival","6:30","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=570s","The Birth of Vibe Coding","9:30","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=687s","Transformative Coding Experiences","11:27","https://www.youtube.com/watch?v=Lwh7_rxtMTw&t=1501s&pp=0gcJCfMAdtSAhXgk","Future Episodes and Book InsightsThis is a video about NEW EPISODE 1","25:01","With Steve and Gene, with hosts","Steve Yegge","and Gene Kim. The goal is to share with you ...","","Steve Yegge","","","","chrome-extension://adccfkchphhccahbdnfdcfdgefjcdfmh/images/badge-basic.png","Descript"
"https://www.youtube.com/watch?v=Xm3mEzqINiw&t=741s&pp=ygUXc3RldmUgeWVnZ2UgdmliZSBjb2Rpbmc%3D","https://i.ytimg.com/vi/Xm3mEzqINiw/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDT38BY2unOsFpHmJzk-SSd6MuCQw","1:04:24","Gene Kim: Vibe Coding Solved What I Couldn't in 13 YEARS","Tech Lead Journal and IT Revolution","","1.1K views","1 month ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=search&filters=%7B%22title_search_query%22%3A%22Gene+Kim%3A+Vibe+Coding+Solved+What+I+Couldn%27t+in+13+YEARS%22%2C%22mode%22%3A%22long%22%7D","4.6x","https://www.youtube.com/@techleadjournal","","8.36K","Steve Yegge","He explains how meeting","Steve Yegge","He explains how meeting","https://i.ytimg.com/vi/Xm3mEzqINiw/hqdefault_751866.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC0-CrlFQ4EQw8XOWBiTXCIsJyTyg","Matching chapter","Matching chapter","12:21 What was Gene Kim’s a-ha moment with vibe coding?","Matching chapter","","","","https://www.youtube.com/watch?v=Xm3mEzqINiw","Trailer & Intro","0:00","https://www.youtube.com/watch?v=Xm3mEzqINiw","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=193s","What shaped Gene Kim’s career in DevOps and technology?","3:13","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=446s","How did Gene Kim’s books like Phoenix Project come about?","7:26","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=595s","What’s the story behind the Phoenix Project graphic novel?","9:55","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=741s","What was Gene Kim’s a-ha moment with vibe coding?","12:21","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=881s","How did Steve Yegge and Gene Kim collaborate on the ...","14:41","https://www.youtube.com/watch?v=Xm3mEzqINiw&t=1266s","What is vibe coding and how is it different from regular ...","21:06","and discovering","vibe coding","reignited his passion for","programming","vibe coding","programming","","Tech Lead Journal and IT Revolution","chrome-extension://adccfkchphhccahbdnfdcfdgefjcdfmh/images/badge-basic.png","vibe coding"
