"layout href","additional-label","style-scope","layout href 2","additional-label 2","style-scope 10","style-scope href 2","style-scope 11","style-scope 12","style-scope 13","style-scope 14","style-scope 15","style-scope 16","style-scope 17","style-scope 18","layout href 3","additional-label 3","style-scope 19"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=what%20is%20vibe%20coding%20and%20how%20to%20do%20it","Medium volume","what is vibe coding and how to do it","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20for%20beginners","High volume","vibe coding for beginners","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20tutorial%20and%20best%20practices","Low volume","vibe coding tutorial and best practices"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=complete%20vibe%20coding%20course","Medium volume","complete vibe coding course","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20for%20non%20coders","Medium volume","vibe coding for non coders","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=how%20to%20learn%20vibe%20coding","Medium volume","how to learn vibe coding"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20vs%20real%20coding","Medium volume","vibe coding vs real coding","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=best%20tech%20stack%20for%20vibe%20coding","Low volume","best tech stack for vibe coding","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20step%20by%20step","Low volume","vibe coding step by step"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20explained","Medium volume","vibe coding explained","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=best%20ide%20for%20vibe%20coding","Medium volume","best ide for vibe coding","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=does%20vibe%20coding%20work","Medium volume","does vibe coding work"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=how%20to%20vibe%20code%20like%20a%20pro","Medium volume","how to vibe code like a pro","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20with%20claude%20code","Medium volume","vibe coding with claude code","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=how%20to%20vibe%20code%20with%20copilot","Low volume","how to vibe code with copilot"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20with%20ai%20studio","Low volume","vibe coding with ai studio","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20crash%20course","Medium volume","vibe coding crash course","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=top%20vibe%20coding%20tools","Low volume","top vibe coding tools"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20full%20project","Low volume","vibe coding full project","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20application","Low volume","vibe coding application","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20with%20google%20antigravity","Medium volume","vibe coding with google antigravity"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20course","High volume","vibe coding course","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20end%20to%20end%20project","Low volume","vibe coding end to end project","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20masterclass","Medium volume","vibe coding masterclass"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20bootcamp","Low volume","vibe coding bootcamp","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20code%20tutorial","Medium volume","vibe code tutorial","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20jobs","Medium volume","vibe coding jobs"
"https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20fundamentals%20in%2033%20minutes","Medium volume","vibe coding fundamentals in 33 minutes","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20with%20gemini%20cli","Low volume","vibe coding with gemini cli","[object Object]","This search is unsafe for any of the following reasons:","Sexual content","Violent or repulsive content","Hateful or abusive content","Harmful or dangerous acts","Spam or misleading","Child abuse","undefined (required)","https://studio.youtube.com/channel/UClK1k38qk4QZ7RHnSSaAGRw/analytics/tab-research/period-default?pageType=TOPIC_PAGE&topic=vibe%20coding%20process","Low volume","vibe coding process"
