"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=_B97rRUClQQ","https://i.ytimg.com/vi/_B97rRUClQQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCuhw2Kz3Rd-3-uPLYwIA0rkOHR8Q","11:22","NotebookLM + Antigravity Gives You Super Powers (Unlock It Now)","1.1x","25K views","4 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","28 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NotebookLM+%2B+Antigravity+Gives+You+Super+Powers+%28Unlock+It+Now%29%22%2C%22mode%22%3A%22long%22%7D","4.6x"
"https://www.youtube.com/watch?v=ld4ASkuAOCk","https://i.ytimg.com/vi/ld4ASkuAOCk/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCMbe1ihPKpp7L718JiUYmDe5V5Pg","11:11","How To Build An App With Claude Opus 4.6 (with Backend, Auth & Stripe)","0.6x","15K views","6 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","10 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+To+Build+An+App+With+Claude+Opus+4.6+%28with+Backend%2C+Auth+%26+Stripe%29%22%2C%22mode%22%3A%22long%22%7D","2.8x"
"https://www.youtube.com/watch?v=YFQGQIZWDcE","https://i.ytimg.com/vi/YFQGQIZWDcE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCCkTFsmDhmBskhhORrJg1WZblLwA","12:25","How I Vibe Code Award-Winning Websites with Google Antigravity","1.3x","29K views","10 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+I+Vibe+Code+Award-Winning+Websites+with+Google+Antigravity%22%2C%22mode%22%3A%22long%22%7D","4.1x"
"https://www.youtube.com/watch?v=Eyt1Ys-jzbQ","https://i.ytimg.com/vi/Eyt1Ys-jzbQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC3-Z183dXnPLDfnXTMU_bWZlkaEQ","24:30","How To Use Google AI Studio 10X Better Than Everyone Else","0.9x","23K views","13 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+To+Use+Google+AI+Studio+10X+Better+Than+Everyone+Else%22%2C%22mode%22%3A%22long%22%7D","3.3x"
"https://www.youtube.com/watch?v=AIfs-tRWbjE","https://i.ytimg.com/vi/AIfs-tRWbjE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC7bDcDIbw18aWOdxKSFNxHY6F8Bw","13:04","Claude Cowork Just Got 10X Better (Plugins, Opus 4.6 & More)","1.2x","28K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Claude+Cowork+Just+Got+10X+Better+%28Plugins%2C+Opus+4.6+%26+More%29%22%2C%22mode%22%3A%22long%22%7D","4.1x"
"https://www.youtube.com/watch?v=LOwscgNHaXc","https://i.ytimg.com/vi/LOwscgNHaXc/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDk5Jv666mzmyhWa_twy8yxO6gbUw","10:39","Watch THIS Before Using OpenClaw (Clawdbot)","1.0x","23K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Watch+THIS+Before+Using+OpenClaw+%28Clawdbot%29%22%2C%22mode%22%3A%22long%22%7D","3.4x"
"https://www.youtube.com/watch?v=jvHSKUJez8E","https://i.ytimg.com/vi/jvHSKUJez8E/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBZz3RJZp_ypbet9tvfGoYw_sFgQg","14:29","NEW Claude Opus 4.6 vs GPT-5.3 Codex: The Ultimate AI Coding Battle","0.5x","12K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NEW+Claude+Opus+4.6+vs+GPT-5.3+Codex%3A+The+Ultimate+AI+Coding+Battle%22%2C%22mode%22%3A%22long%22%7D","1.8x"
"https://www.youtube.com/watch?v=1hosboTh53I","https://i.ytimg.com/vi/1hosboTh53I/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDB7AmZlNgAt-5b5JxbEklhxijKsw","24:46","Github Tutorial: From Beginner To Expert in 25 Minutes","0.5x","14K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Github+Tutorial%3A+From+Beginner+To+Expert+in+25+Minutes%22%2C%22mode%22%3A%22long%22%7D","2x"
"https://www.youtube.com/watch?v=-8_9G9fwN-Q","https://i.ytimg.com/vi/-8_9G9fwN-Q/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDmmuQ7ZNpOVlawaQS8HKu4zrrLpA","18:30","Build Your First AI Agent In 15 Minutes (No Coding)","0.8x","21K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22Build+Your+First+AI+Agent+In+15+Minutes+%28No+Coding%29%22%2C%22mode%22%3A%22long%22%7D","3x"
"https://www.youtube.com/watch?v=VkkoqoSe6VQ&pp=0gcJCb4KAYcqIYzv","https://i.ytimg.com/vi/VkkoqoSe6VQ/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD_Gdq66iIiNRdrUDjA-1h3FgYEEg","16:00","I Built the Same App in Google Antigravity & Claude Code.. I Wasn’t Expecting This","2.0x","45K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22I+Built+the+Same+App+in+Google+Antigravity+%26+Claude+Code..+I+Wasn%E2%80%99t+Expecting+This%22%2C%22mode%22%3A%22long%22%7D","6.4x"
