"yt-simple-endpoint href","ytCoreImageHost src","yt-badge-shape__text","style-scope 6","outlier-badge-1of10","inline-metadata-item","inline-metadata-item 2","logo-action-container-1of10 src","ranking-badge-1of10","vidiq-c-fvFDqp","no-underline href","vidiq-c-fvFDqp 2"
"https://www.youtube.com/watch?v=haBy-Rhkl4g","https://i.ytimg.com/vi/haBy-Rhkl4g/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCFpTuI-9xbteZRagAdMUCaHIf65A","22:20","AntiGravity + Stitch builds Insane Websites (NEW Skill)","1.3x","77K views","2 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 10","727 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22AntiGravity+%2B+Stitch+builds+Insane+Websites+%28NEW+Skill%29%22%2C%22mode%22%3A%22long%22%7D","21x"
"https://www.youtube.com/watch?v=KmXfxcGhJDE&t=1396s","https://i9.ytimg.com/vi/KmXfxcGhJDE/hqdefault_custom_3.jpg?sqp=CITfr8wG-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBpjUy5dYHusDnfLOWr9wLB0Tr-RA","25:55","NotebookLM just became UNSTOPPABLE (AntiGravity)","1.2x","69K views","4 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 10","317 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NotebookLM+just+became+UNSTOPPABLE+%28AntiGravity%29%22%2C%22mode%22%3A%22long%22%7D","15x"
"https://www.youtube.com/watch?v=mvHGl6zEA3w&t=1s","https://i.ytimg.com/vi/mvHGl6zEA3w/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAqPiEW4S-aGIctzMeVfUsusext9g","3:16:14","The Ultimate AntiGravity Masterclass (3+ HOUR FREE COURSE)","0.9x","52K views","5 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 10","201 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22The+Ultimate+AntiGravity+Masterclass+%283%2B+HOUR+FREE+COURSE%29%22%2C%22mode%22%3A%22long%22%7D","12x"
"https://www.youtube.com/watch?v=3KpP2K0oT1M","https://i.ytimg.com/vi/3KpP2K0oT1M/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLD4S8vdz4FzLQoAnNclQxxVg8Ij_g","35:16","How I vibecode Beautiful Animated Websites (AntiGravity)","0.5x","36K views","9 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","6 of 10","43 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+I+vibecode+Beautiful+Animated+Websites+%28AntiGravity%29%22%2C%22mode%22%3A%22long%22%7D","6.9x"
"https://www.youtube.com/watch?v=fuaPsRPA3Cw","https://i.ytimg.com/vi/fuaPsRPA3Cw/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDtBmYz9nWDPuQArTATgeGP0NGImw","39:23","How to Use ClawdBot Better than 99% of People","0.5x","34K views","11 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","7 of 10","50 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+to+Use+ClawdBot+Better+than+99%25+of+People%22%2C%22mode%22%3A%22long%22%7D","6.4x"
"https://www.youtube.com/watch?v=9JCo686ROvs","https://i.ytimg.com/vi/9JCo686ROvs/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCrtxOke0TZqtIEF0MMUApMahWgWQ","32:21","AntiGravity Just Changed Content Creation Forever (remotion)","0.8x","58K views","13 days ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","6 of 10","36 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22AntiGravity+Just+Changed+Content+Creation+Forever+%28remotion%29%22%2C%22mode%22%3A%22long%22%7D","11x"
"https://www.youtube.com/watch?v=HRDYY-qSDuU&pp=0gcJCZQKAYcqIYzv","https://i.ytimg.com/vi/HRDYY-qSDuU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBjwDQNpT9tqApTPCCglxccsgNqig","30:19","NotebookLM just got 10X better (AntiGravity)","3.1x","160K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","1 of 10","66 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22NotebookLM+just+got+10X+better+%28AntiGravity%29%22%2C%22mode%22%3A%22long%22%7D","30x"
"https://www.youtube.com/watch?v=MKH5CPk-ngE","https://i.ytimg.com/vi/MKH5CPk-ngE/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDedXRJqwd4E7yfKGSHplOc4LFF3w","44:06","How I Vibecode $10,000 FULL Stack Apps (AntiGravity)","0.4x","23K views","2 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","8 of 9","20 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22How+I+Vibecode+%2410%2C000+FULL+Stack+Apps+%28AntiGravity%29%22%2C%22mode%22%3A%22long%22%7D","4.5x"
"https://www.youtube.com/watch?v=L6OYgYVi2Ug","https://i.ytimg.com/vi/L6OYgYVi2Ug/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDcW6sooXCyNVbZLv37whJDDtdhxg","16:03","AntiGravity just became UNSTOPPABLE (OpenCode)","1.8x","103K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","2 of 8","37 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22AntiGravity+just+became+UNSTOPPABLE+%28OpenCode%29%22%2C%22mode%22%3A%22long%22%7D","19x"
"https://www.youtube.com/watch?v=2IBN7ArkAkU","https://i.ytimg.com/vi/2IBN7ArkAkU/hqdefault.jpg?sqp=-oaymwEnCNACELwBSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBcdnqXAQSf0lolpJ8zjrN8hxQFHQ","29:25","DON'T Build workflows, Build AI Systems (AntiGravity)","0.4x","32K views","3 weeks ago","chrome-extension://gkfdnmclhbgbidnpmimfdobgjpeblckn/src/icons/oot-logo.svg","4 of 6","9 VPH","https://app.vidiq.com/outliers?utm_source=edge&utm_medium=extension&utm_content=&filters=%7B%22title_search_query%22%3A%22DON%27T+Build+workflows%2C+Build+AI+Systems+%28AntiGravity%29%22%2C%22mode%22%3A%22long%22%7D","6.2x"
